Timestamp,Type,Severity,Message
2026-01-26 13:59:11,ALERT,HIGH,Camera blackout detected for 26s
2026-01-26 13:59:11,ALERT,HIGH,Camera blackout detected for 26s
2026-01-26 13:59:11,ALERT,HIGH,Camera blackout detected for 26s
2026-01-26 13:59:11,ALERT,HIGH,Camera blackout detected for 26s
2026-01-26 13:59:11,ALERT,HIGH,Camera blackout detected for 26s
2026-01-26 13:59:11,ALERT,HIGH,Camera blackout detected for 26s
2026-01-26 13:59:11,ALERT,HIGH,Camera blackout detected for 27s
2026-01-26 13:59:11,ALERT,HIGH,Camera blackout detected for 27s
2026-01-26 13:59:11,ALERT,HIGH,Camera blackout detected for 27s
2026-01-26 13:59:12,ALERT,HIGH,Camera blackout detected for 27s
2026-01-26 13:59:12,ALERT,HIGH,Camera blackout detected for 27s
2026-01-26 13:59:12,ALERT,HIGH,Camera blackout detected for 27s
2026-01-26 13:59:12,ALERT,HIGH,Camera blackout detected for 27s
2026-01-26 13:59:12,ALERT,HIGH,Camera blackout detected for 27s
2026-01-26 13:59:12,ALERT,HIGH,Camera blackout detected for 28s
2026-01-26 13:59:12,ALERT,HIGH,Camera blackout detected for 28s
2026-01-26 13:59:12,ALERT,HIGH,Camera blackout detected for 28s
2026-01-26 13:59:13,ALERT,HIGH,Camera blackout detected for 28s
2026-01-26 13:59:13,ALERT,HIGH,Camera blackout detected for 28s
2026-01-26 13:59:13,ALERT,HIGH,Camera blackout detected for 28s
2026-01-26 13:59:13,ALERT,HIGH,Camera blackout detected for 28s
2026-01-26 13:59:13,ALERT,HIGH,Camera blackout detected for 28s
2026-01-26 13:59:13,ALERT,HIGH,Camera blackout detected for 29s
2026-01-26 13:59:13,ALERT,HIGH,Camera blackout detected for 29s
2026-01-26 13:59:13,ALERT,HIGH,Camera blackout detected for 29s
2026-01-26 13:59:14,ALERT,HIGH,Camera blackout detected for 29s
2026-01-26 13:59:14,ALERT,HIGH,Camera blackout detected for 29s
2026-01-26 13:59:14,ALERT,HIGH,Camera blackout detected for 29s
2026-01-26 13:59:14,ALERT,HIGH,Camera blackout detected for 29s
2026-01-26 13:59:14,ALERT,HIGH,Camera blackout detected for 29s
2026-01-26 13:59:14,ALERT,HIGH,Camera blackout detected for 29s
2026-01-26 13:59:14,ALERT,HIGH,Camera blackout detected for 30s
2026-01-26 13:59:14,ALERT,HIGH,Camera blackout detected for 30s
2026-01-26 13:59:15,ALERT,HIGH,Camera blackout detected for 30s
2026-01-26 13:59:15,ALERT,HIGH,Camera blackout detected for 30s
2026-01-26 13:59:15,ALERT,HIGH,Camera blackout detected for 30s
2026-01-26 13:59:15,ALERT,HIGH,Camera blackout detected for 30s
2026-01-26 13:59:15,ALERT,HIGH,Camera blackout detected for 30s
2026-01-26 13:59:15,ALERT,HIGH,Camera blackout detected for 30s
2026-01-26 13:59:15,ALERT,HIGH,Camera blackout detected for 31s
2026-01-26 13:59:15,ALERT,HIGH,Camera blackout detected for 31s
2026-01-26 13:59:15,ALERT,HIGH,Camera blackout detected for 31s
2026-01-26 13:59:16,ALERT,HIGH,Camera blackout detected for 31s
2026-01-26 13:59:16,ALERT,HIGH,Camera blackout detected for 31s
2026-01-26 13:59:16,ALERT,HIGH,Camera blackout detected for 31s
2026-01-26 13:59:16,ALERT,HIGH,Camera blackout detected for 31s
2026-01-26 13:59:16,ALERT,HIGH,Camera blackout detected for 31s
2026-01-26 13:59:16,ALERT,HIGH,Camera blackout detected for 32s
2026-01-26 13:59:16,ALERT,HIGH,Camera blackout detected for 32s
2026-01-26 13:59:16,ALERT,HIGH,Camera blackout detected for 32s
2026-01-26 13:59:17,ALERT,HIGH,Camera blackout detected for 32s
2026-01-26 13:59:17,ALERT,HIGH,Camera blackout detected for 32s
2026-01-26 13:59:17,ALERT,HIGH,Camera blackout detected for 32s
